date, pm25, pm10, o3, no2, so2, co
2022/11/20, 74, 34, 14, 23, 4, 9
2022/11/21, 67, 21, 15, 41, 4, 13
2022/11/22, 65, 15, 16, 29, 4, 12
2022/11/23, 54, 24, 14, 36, 4, 13
2022/11/24, 60, 35, 9, 43, 3, 16
2022/11/25, 79, 15, 12, 40, 4, 14
2022/11/26, 58, 17, 10, 20, 5, 13
2022/11/27, 52, 23, 7, 50, 6, 17
2022/11/28, 76, 46, 5, 51, 5, 19
2022/11/29, 125, 83, 4, 60, 5, 24
2022/11/30, 155, 59, 8, 63, 1, 20
2022/12/1, 121, 16, 10, 41, 3, 19
2022/12/2, 96, 28, 8, 59, 4, 26
2022/12/3, 141, 29, 6, 34, 4, 17
2022/12/4, 82, 36, 7, 58, 5, 22
2022/12/5, 108, 34, 7, 29, 5, 21
2022/12/6, 135, 50, 7, 88, 4, 27
2022/12/7, 108, 55, 10, 49, 4, 26
2022/12/8, 160, 48, 11, 44, 4, 22
2022/12/9, 125, 42, 14, 24, 6, 21
2022/12/10, 98, 27, 15, 16, 4, 19
2022/12/11, 67, 18, 14, 35, 4, 22
2022/12/12, 65, 21, 14, 31, 3, 22
2022/12/13, 72, 25, 5, 45, 5, 24
2022/12/14, 80, 52, 11, 32, 3, 25
2022/12/15, 122, 38, 10, 31, 4, 23
2022/12/16, 93, 32, 13, 29, 5, 23
2022/12/17, 82, 30, 6, 35, 5, 23
2022/12/18, 84, 34, 10, 31, 5, 25
2022/12/19, 99, 17, 12, 28, 4, 21
2022/12/20, 35, 18, 12, 38, 8, 22
2022/12/21, 50, 43, 5, 73, 10, 30
2022/12/22, 100, 67, 4, 92, 10, 40
2022/12/23, 169, 80, 8, 90, 6, 42
2022/12/24, 180, 63, 11, 64, 7, 40
2022/12/25, 173, 35, 9, 54, 6, 26
2022/12/26, 90, 51, 6, 80, 7, 32
2022/12/27, 133, 70, 5, 86, 5, 39
2022/12/28, 172, 74, 6, 98, 5, 44
2022/12/29, 183, 82, 5, 97, 5, 49
2022/12/30, 213, 75, 7, 83, 6, 43
2022/12/31, 190, 76, 8, 69, 8, 40
2023/1/1, 175, 63, 7, 78, 6, 37
2022/9/2, 77, 18, 22, 40, 3, 11
2022/9/3, 71, 18, 23, 31, 3, 11
2022/9/4, 71, 20, 20, 39, 4, 11
2022/9/5, 56, 23, 21, 39, 4, 9
2022/9/6, 47, 17, 25, 41, 4, 10
2022/9/7, 50, 21, 22, 41, 4, 10
2022/9/8, 60, 20, 25, 51, 3, 11
2022/9/9, 64, 23, 21, 77, 3, 16
2022/9/10, 81, 27, 21, 55, 4, 13
2022/9/11, 77, 24, 20, 48, 3, 13
2022/9/12, 75, 17, 22, 38, 3, 10
2022/9/13, 56, 16, 21, 43, 3, 9
2022/9/14, 49, 20, 24, 67, 4, 13
2022/9/15, 63, 23, 20, 64, 4, 12
2022/9/16, 72, 20, 18, 57, 3, 11
2022/9/17, 63, 15, 16, 31, 3, 10
2022/9/18, 56, 72, 18, 39, 4, 11
2022/9/19, 53, 93, 19, 41, 3, 11
2022/9/20, 56, 31, 18, 39, 3, 10
2022/9/21, 57, 20, 17, 30, 3, 10
2022/9/22, 51, 14, 16, 29, 3, 9
2022/9/23, 34, 15, 13, 38, 3, 10
2022/9/24, 41, 21, 14, 45, 3, 11
2022/9/25, 57, 25, 12, 65, 3, 14
2022/9/26, 72, 20, 11, 25, 3, 10
2022/9/27, 61, 19, 10, 28, 3, 11
2022/9/28, 54, 17, 12, 26, 3, 11
2022/9/29, 55, 20, 10, 49, 3, 14
2022/9/30, 62, 28, 11, 69, 3, 16
2024/8/30, , 23, 8, , 5, 
2024/8/31, , 26, 8, , 5, 
2024/9/1, , 21, 35, , 5, 
2024/9/2, , 28, 7, , 5, 
2024/9/3, , 39, 8, , 5, 
2024/9/4, , 39, 8, 60, 5, 9
2024/3/31, , 53, 6, 42, 2, 10
2024/4/3, , 53, 2, 27, 2, 9
2024/4/13, , 16, 12, 20, 3, 8
2024/4/17, , 33, 8, , , 10
2024/4/20, , 8, 12, 17, 2, 10
2024/4/22, , 25, 12, 22, 3, 10
2024/4/24, , 52, , , , 
2024/4/26, , 20, 14, 22, 4, 10
2024/5/11, , 10, 14, 25, 3, 9
2024/5/14, , 26, 7, 41, , 11
2024/5/19, , 40, 39, 45, 3, 14
2024/5/23, , 20, 35, 29, 2, 12
2024/5/26, , 32, , 9, , 12
2024/5/28, , 14, , 31, 1, 12
2024/5/30, , 13, , 28, 1, 11
2024/6/1, , 34, , 20, 1, 11
2024/6/6, , 35, 1, 40, 3, 12
2024/6/13, , 52, , 34, , 14
2024/6/16, , 13, 9, 24, 5, 12
2024/2/4, , 54, , 43, 9, 7
2024/2/9, , 26, 10, 24, 3, 
2024/2/11, , 17, 11, 19, 3, 
2024/2/18, , 24, 5, 13, 5, 
2024/3/6, , 41, 5, 48, 4, 4
2024/3/9, , 38, 8, 31, 4, 4
2024/3/11, , 31, 13, 36, 3, 2
2024/3/13, , 19, 8, 37, 5, 5
2024/3/18, , 30, 10, 52, 9, 8
2024/3/20, , 22, 9, 32, 3, 4
2024/3/25, , 32, 4, 46, 7, 8
2023/10/24, , 38, 11, 30, 3, 11
2023/11/14, , 28, 9, , 6, 
2023/11/15, , 24, 8, 41, 7, 13
2023/11/21, , 24, 2, , 7, 
2023/11/24, , 26, 7, , 3, 
2023/4/1, , 15, 18, 20, 4, 48
2023/4/2, , 15, 18, 20, 4, 48
2023/4/3, , 15, 20, 30, 4, 48
2023/4/4, , 18, 17, 16, 3, 52
2023/4/5, , 12, 13, 11, 3, 54
2023/4/6, , 17, 11, 9, , 56
2023/4/7, , 10, 18, 11, 3, 54
2023/4/8, , 17, 19, 15, 5, 54
2023/4/9, , 23, 20, 17, 5, 56
2023/4/10, , 26, 15, , 4, 58
2023/4/11, , 14, 16, 31, 4, 57
2023/5/7, , 14, 16, 34, 4, 
2023/5/8, , 33, 16, 41, 4, 4
2023/5/9, , 25, 13, 45, 4, 4
2023/5/10, , 23, 12, 33, 4, 4
2023/5/11, , 21, 12, 33, 4, 5
2023/2/25, , 28, 18, , 4, 
2023/2/26, , 31, 18, , 6, 
2023/2/27, , 44, 14, , 7, 
2023/2/28, , 68, 16, , 4, 
2023/3/1, , 62, 12, 44, 6, 57
2023/3/24, , 21, 21, 12, 5, 57
2023/3/25, , 21, 21, 15, 4, 53
2023/3/26, , 19, 21, 13, 3, 51
2023/3/27, , 14, 20, 16, 3, 49
2023/3/28, , 10, 19, 7, 4, 50
2023/3/29, , 14, 19, 7, 5, 52
2023/3/30, , 18, 19, 10, 5, 53
2023/3/31, , 15, 19, 15, 3, 53
2022/9/1, , 20, 28, 48, 3, 12
2024/11/7, , , , 64, , 13
2024/11/25, , , 4, 63, , 8
2024/10/9, , , 10, 24, , 6
2024/10/17, , , 15, 41, , 6
2024/10/27, , , 13, 49, , 8
2024/1/16, , , , 57, , 7
2024/1/22, , , 10, 27, , 
2023/12/7, , , 2, 41, , 6
2024/9/21, , , , 32, , 2
2024/1/2, , , , 25, , 24
2023/11/16, , , , , , 3
