date, pm25, pm10, o3, no2, so2, co
2024/5/21, 65, 32, 21, 40, 2, 13
2024/5/22, 62, , , , , 
2024/5/24, 55, 14, 24, 25, 3, 12
2024/5/25, 53, , , , , 
2024/5/27, 56, , , , , 
2024/5/29, 46, , , , , 
2024/5/31, 47, , , , , 
2024/6/2, 61, 41, 7, 29, 2, 12
2024/6/3, 62, 34, 4, 39, 4, 14
2024/6/4, 68, 41, , 53, 2, 17
2024/6/5, 77, , , , , 
2024/6/7, 66, 22, 12, 41, 1, 13
2024/6/8, 125, 17, 7, 18, 2, 10
2024/6/9, 67, 19, 11, 46, 1, 13
2024/6/10, 68, 22, 2, 39, 3, 13
2024/6/11, 71, 40, , 32, 2, 13
2024/6/12, 200, , , , , 
2024/6/14, 80, , , , , 
2024/6/17, 40, 13, 8, , 5, 11
2024/6/18, 34, , , , , 
2024/1/1, 98, , , , , 
2024/1/3, 77, , 7, 32, , 24
2024/1/4, 63, , 3, 55, , 24
2024/1/5, 73, , 10, 35, , 24
2024/1/6, 91, , 13, , , 24
2024/1/7, 52, , 9, 51, , 24
2024/1/8, 48, , 6, 31, , 19
2024/1/9, 50, , 11, 13, , 1
2024/1/10, 37, , 9, , , 
2024/1/11, 22, , 7, 25, , 4
2024/1/12, 60, , 14, 28, , 
2024/1/13, 46, , 8, 20, , 
2024/1/14, 46, , 6, 24, , 
2024/1/15, 81, , , , , 
2024/1/17, 90, , 7, 23, , 22
2024/1/18, 116, , 8, 21, , 
2024/1/19, 57, , 9, 20, , 
2024/1/20, 65, , 8, 13, , 
2024/1/21, 71, , 15, 14, , 
2024/1/23, 22, , 7, 23, , 
2024/1/24, 36, , 2, 42, , 
2024/1/25, 41, , 3, 42, , 7
2024/1/26, 76, 41, 2, 39, 10, 8
2024/1/27, 73, 22, 10, 19, 8, 
2024/1/28, 43, 17, 5, 27, 7, 
2024/1/29, 27, 19, 13, 24, 9, 
2024/1/30, 19, 19, 13, 38, 8, 
2024/1/31, 20, 20, 4, 31, 11, 
2024/2/1, 25, 46, 4, 41, 27, 9
2024/2/2, 62, 43, 6, 40, , 
2024/2/3, 61, , , , , 
2024/2/5, 86, 44, 1, 28, , 1
2024/2/6, 77, 40, 10, 30, 2, 
2024/2/7, 71, , , , , 
2024/2/10, 63, , , , , 
2024/2/12, 46, 17, 5, 17, 3, 
2024/2/13, 43, 41, 5, 28, 9, 6
2024/2/14, 68, 25, 3, 18, , 
2024/2/15, 50, 16, 4, 15, 4, 
2024/2/16, 32, 19, 7, 16, 5, 
2024/2/17, 38, , , , , 
2024/2/19, 49, 39, 3, 22, , 3
2024/2/20, 62, 54, , 38, 9, 6
2024/2/21, 77, 47, 1, 44, 15, 8
2024/2/22, 68, 45, 6, 37, 2, 6
2024/2/23, 89, 35, 4, 19, , 1
2024/2/24, 68, 33, 5, 39, 4, 5
2024/2/25, 85, 37, 5, 35, 3, 5
2024/2/26, 79, 34, 7, 45, 6, 4
2024/2/27, 64, 41, 6, 58, 6, 8
2024/2/28, 80, 50, 3, 70, 6, 10
2024/2/29, 94, 47, 3, 42, 4, 7
2024/3/1, 87, 48, 8, 25, , 3
2024/3/2, 71, 24, 6, 29, 2, 2
2024/3/3, 58, 38, 5, 48, 2, 8
2024/3/4, 71, 32, 7, 27, 1, 2
2024/3/5, 63, , , , , 
2024/3/7, 63, 25, 4, 49, , 2
2024/3/8, 61, , , , , 
2024/3/10, 53, , , , , 
2024/3/12, 53, , , , , 
2024/3/14, 53, 28, 2, 59, 6, 12
2024/3/15, 64, 61, 9, 27, 7, 7
2024/3/16, 69, , , , , 
2024/3/19, 61, , , , , 
2024/3/21, 35, 27, 8, 58, 8, 11
2024/3/22, 53, 31, 3, 37, 4, 5
2024/3/23, 54, 32, 1, 32, 5, 12
2024/3/24, 61, , , , , 
2024/3/26, 49, , , , , 
2023/10/1, 51, 26, 17, 12, 4, 15
2023/10/2, 54, 21, 16, 10, 5, 15
2023/10/3, 43, 23, 17, 13, 6, 17
2023/10/4, 51, 34, 19, 20, 9, 20
2023/10/5, 62, 38, 19, 23, 9, 22
2023/10/6, 73, 35, 15, 13, 7, 18
2023/10/7, 62, 35, 16, 13, 9, 19
2023/10/8, 60, 33, 12, 18, 7, 20
2023/10/9, 60, 32, 13, 15, 9, 19
2023/10/10, 56, 29, 13, 7, 6, 17
2023/10/11, 50, , , , , 
2023/10/25, 78, 34, 11, 35, 8, 10
2023/10/26, 83, 41, 7, 26, 5, 11
2023/10/27, 82, 43, 9, 17, 5, 9
2023/10/28, 69, 25, 7, 19, 5, 9
2023/10/29, 56, 32, 10, 34, 8, 12
2023/10/30, 71, 39, 3, 37, 6, 13
2023/10/31, 93, 33, 10, 20, 5, 9
2023/11/1, 79, 30, 9, 18, 6, 9
2023/11/2, 63, 36, 10, 18, 5, 8
2023/11/3, 56, 35, 9, 9, 6, 8
2023/11/4, 51, 37, 10, 14, 5, 7
2023/11/5, 55, 29, 8, , 5, 8
2023/11/6, 50, 53, 4, 38, 7, 11
2023/11/7, 70, 60, 5, 38, 5, 12
2023/11/8, 86, 53, 4, 26, 6, 11
2023/11/9, 76, 40, 3, 36, 9, 11
2023/11/10, 71, 27, 8, 10, 4, 9
2023/11/11, 58, 18, 8, , 5, 12
2023/11/12, 45, 23, 7, , 6, 
2023/11/13, 47, 17, 5, , 5, 
2023/11/22, 60, 23, , , 5, 
2023/11/23, 65, , , , , 
2023/11/25, 74, 18, 10, , 3, 
2023/11/26, 56, 18, 3, , 6, 
2023/11/27, 63, 28, 11, 19, 4, 7
2023/11/28, 88, 22, 10, 21, 4, 3
2023/11/29, 125, 27, 8, 43, 4, 4
2023/11/30, 143, 53, 9, 23, , 3
2023/12/1, 62, 56, 10, 16, , 1
2023/12/2, 47, , 11, 13, , 1
2023/12/3, 47, , 10, 34, , 6
2023/12/4, 54, , 1, 24, , 3
2023/12/5, 57, , , 27, , 4
2023/12/6, 72, , , , , 
2023/12/8, 57, , 2, 20, , 5
2023/12/9, 40, , , 31, , 8
2023/12/10, 44, , 2, 46, , 14
2023/12/11, 91, , 12, 56, , 22
2023/12/12, 130, , 7, 40, , 17
2023/12/13, 138, , 8, 31, , 9
2023/12/14, 70, , 9, 33, , 8
2023/12/15, 44, , 7, 25, , 9
2023/12/16, 48, , 12, 10, , 8
2023/12/17, 37, , 8, 35, , 8
2023/12/18, 31, , 3, 44, , 13
2023/12/19, 66, , , 34, , 37
2023/12/20, 109, , 8, 18, , 11
2023/12/21, 77, , 3, 38, , 19
2023/12/22, 70, , 7, 32, , 19
2023/12/23, 64, , 5, 25, , 20
2023/12/24, 59, , 12, 35, , 19
2023/12/25, 69, , 3, 40, , 20
2023/12/26, 77, , 5, 55, , 20
2023/12/27, 79, , 1, 66, , 20
2023/12/28, 99, , 1, 69, , 22
2023/12/29, 145, , 4, 33, , 23
2023/12/30, 107, , , 29, , 24
2023/12/31, 86, , , 23, , 24
2023/7/1, 42, 12, 32, 33, 3, 16
2023/7/2, 58, 14, 29, 37, 3, 17
2023/7/3, 60, 19, 42, 50, 3, 18
2023/7/4, 69, 23, 39, 45, 3, 19
2023/7/5, 71, 25, 33, 44, 3, 19
2023/7/6, 73, 25, 33, 54, 3, 18
2023/7/7, 72, 20, 31, 31, 3, 18
2023/7/8, 64, 14, 29, 23, 4, 16
2023/7/9, 42, 14, 28, 44, 4, 17
2023/7/10, 37, 17, 34, 47, 4, 4
2023/7/11, 54, 22, 35, 57, 4, 5
2023/7/12, 66, 21, 42, 57, 5, 6
2023/7/13, 73, 19, 35, 52, 3, 7
